parameter,value,CV
U_goes_down_False,1,
U_goes_down_True,0.982218088845084,
e_goes_down_True_mab_virus_PGDM1400|PVO.4,0.9915811261445,
e_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,1.86813415136858,
e_goes_down_True_mab_virus_PGDM1400|TRO.11,1.99613220326377,
e_goes_down_True_mab_virus_PGT121|1176,0.658184458941835,
e_goes_down_True_mab_virus_PGT121|1798,16.6380773239334,
e_goes_down_True_mab_virus_PGT121|2944,65.1529427774124,
e_goes_down_True_mab_virus_PGT121|2946,2.59707698771217,
e_goes_down_True_mab_virus_PGT121|3430,24.6892968374406,
e_goes_down_True_mab_virus_PGT121|4166,68.1227180073846,
e_goes_down_True_mab_virus_PGT121|4168,17.1813407820531,
e_goes_down_True_mab_virus_PGT121|Ce1176_A3,38.5240585969347,
e_goes_down_True_mab_virus_PGT121|PVO.4,6.52742148721927,
e_goes_down_True_mab_virus_PGT121|RHPA4259.7,34.843316099779,
e_goes_down_True_mab_virus_PGT121|TRO.11,40.7626871661412,
e_goes_down_True_mab_virus_VRC07-523LS|1176,22.3015382633015,
e_goes_down_True_mab_virus_VRC07-523LS|1798,2.26452885971063,
e_goes_down_True_mab_virus_VRC07-523LS|2944,13.7641391226755,
e_goes_down_True_mab_virus_VRC07-523LS|2946,1.76015315421788,
e_goes_down_True_mab_virus_VRC07-523LS|3430,20.6375990845101,
e_goes_down_True_mab_virus_VRC07-523LS|4166,47.7964685040451,
e_goes_down_True_mab_virus_VRC07-523LS|4168,7.90931218977556,
e_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,3.08776856981875,
e_goes_down_True_mab_virus_VRC07-523LS|PVO.4,8.07180048201626,
e_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,36.7029938190269,
e_goes_down_True_mab_virus_VRC07-523LS|TRO.11,7.79831355097656,
e_goes_down_True_mab_virus_nan|1176,14.051894175881,
e_goes_down_True_mab_virus_nan|1798,0.760261139809542,
e_goes_down_True_mab_virus_nan|2944,2.90779767062281,
e_goes_down_True_mab_virus_nan|2946,5.11920894945605,
e_goes_down_True_mab_virus_nan|3430,2.41815153478807,
e_goes_down_True_mab_virus_nan|4166,2.82762629945673,
e_goes_down_True_mab_virus_nan|4168,1.18322277707224,
e_goes_down_True_mab_virus_nan|Ce1176_A3,1.00499949980855,
e_goes_down_True_mab_virus_nan|PVO.4,8.76175827570068,
e_goes_down_True_mab_virus_nan|RHPA4259.7,2.52694623740627,
e_goes_down_True_mab_virus_nan|TRO.11,2.22133141882491,
alpha_run_id_1200432,0.109477910417176,
alpha_run_id_1313842,0.116263899371959,
alpha_run_id_1313860,0.12285811806708,
alpha_run_id_1313884,0.105858118093451,
alpha_run_id_1313920,0.147201583677271,
alpha_run_id_1313938,0.109477910398094,
alpha_run_id_1313956,0.164383393749354,
alpha_run_id_1313974,0.185078433565897,
alpha_run_id_1313992,0.20299324967725,
alpha_run_id_1314016,0.109477910417177,
alpha_run_id_1314040,0.109477910417173,
alpha_run_id_1314058,0.165205465064257,
alpha_run_id_1342240,0.0638071416099229,
alpha_run_id_1342258,0.10947791041662,
alpha_run_id_1342276,0.109424939224408,
alpha_run_id_1342294,0.134427075733739,
alpha_run_id_1342312,0.109477910417172,
alpha_run_id_1342336,0.10947794743232,
alpha_run_id_1342348,0.109477975895981,
